"sp_image";"sp_habitat";"order";"family";"sp_common";"sp_ebird"
"Loriculus pusillus";"Loriculus pusillus";"PSITTACIFORMES";"Psittacidae";"Yellow-throated Hanging-parrot";"Loriculus pusillus"
"Geospiza magnirostris";"Geospiza magnirostris";"PASSERIFORMES";"Thraupidae";"Large Ground-finch";"Geospiza magnirostris"
"Lanius meridionalis";"Lanius meridionalis";"PASSERIFORMES";"Laniidae";"Iberian Grey Shrike";"Lanius meridionalis"
"Coereba flaveola";"Coereba flaveola";"PASSERIFORMES";"Thraupidae";"Bananaquit";"Coereba flaveola"
"Merulaxis ater";"Merulaxis ater";"PASSERIFORMES";"Rhinocryptidae";"Slaty Bristlefront";"Merulaxis ater"
"Columba leuconota";"Columba leuconota";"COLUMBIFORMES";"Columbidae";"Snow Pigeon";"Columba leuconota"
"Loxipasser anoxanthus";"Loxipasser anoxanthus";"PASSERIFORMES";"Thraupidae";"Yellow-shouldered Grassquit";"Loxipasser anoxanthus"
"Grallaria varia";"Grallaria varia";"PASSERIFORMES";"Grallariidae";"Variegated Antpitta";"Grallaria varia"
"Thraupis episcopus";"Tangara episcopus";"PASSERIFORMES";"Thraupidae";"Blue-grey Tanager";"Thraupis episcopus"
"Eudromias morinellus";"Eudromias morinellus";"CHARADRIIFORMES";"Charadriidae";"Eurasian Dotterel";"Eudromias morinellus"
"Corvus enca";"Corvus enca";"PASSERIFORMES";"Corvidae";"Slender-billed Crow";"Corvus enca"
"Pitta gurneyi";"Hydrornis gurneyi";"PASSERIFORMES";"Pittidae";"Gurney's Pitta";"Hydrornis gurneyi"
"Patagioenas speciosa";"Patagioenas speciosa";"COLUMBIFORMES";"Columbidae";"Scaled Pigeon";"Patagioenas speciosa"
"Mirafra poecilosterna";"Calendulauda poecilosterna";"PASSERIFORMES";"Alaudidae";"Pink-breasted Lark";"Calendulauda poecilosterna"
"Piranga lutea";"Piranga leucoptera";"PASSERIFORMES";"Cardinalidae";"White-winged Tanager";"Piranga leucoptera"
"Cypseloides fumigatus";"Cypseloides fumigatus";"CAPRIMULGIFORMES";"Apodidae";"Sooty Swift";"Cypseloides fumigatus"
"Phyllastrephus poliocephalus";"Phyllastrephus poliocephalus";"PASSERIFORMES";"Pycnonotidae";"Grey-headed Greenbul";"Phyllastrephus poliocephalus"
"Oenanthe phillipsi";"Oenanthe phillipsi";"PASSERIFORMES";"Muscicapidae";"Somali Wheatear";"Oenanthe phillipsi"
"Ramphastos dicolorus";"Ramphastos dicolorus";"PICIFORMES";"Ramphastidae";"Red-breasted Toucan";"Ramphastos dicolorus"
"Serinus citrinelloides";"Crithagra citrinelloides";"PASSERIFORMES";"Fringillidae";"Abyssinian Citril";"Crithagra citrinelloides"
"Emberiza spodocephala";"Emberiza spodocephala";"PASSERIFORMES";"Emberizidae";"Black-faced Bunting";"Emberiza spodocephala"
"Campylopterus rufus";"Pampa rufa";"CAPRIMULGIFORMES";"Trochilidae";"Rufous Sabrewing";"Pampa rufa"
"Certhia nipalensis";"Certhia nipalensis";"PASSERIFORMES";"Certhiidae";"Rusty-flanked Treecreeper";"Certhia nipalensis"
"Ptilinopus granulifrons";"Ptilinopus granulifrons";"COLUMBIFORMES";"Columbidae";"Carunculated Fruit-dove";"Ptilinopus granulifrons"
"Icterus bonana";"Icterus bonana";"PASSERIFORMES";"Icteridae";"Martinique Oriole";"Icterus bonana"
"Charadrius modestus";"Charadrius modestus";"CHARADRIIFORMES";"Charadriidae";"Rufous-chested Plover";"Zonibyx modestus"
"Ficedula narcissina";"Ficedula narcissina";"PASSERIFORMES";"Muscicapidae";"Narcissus Flycatcher";"Ficedula narcissina"
"Neotis heuglinii";"Neotis heuglinii";"OTIDIFORMES";"Otididae";"Heuglin's Bustard";"Neotis heuglinii"
"Ficedula hyperythra";"Ficedula hyperythra";"PASSERIFORMES";"Muscicapidae";"Snowy-browed Flycatcher";"Ficedula hyperythra"
"Elaenia parvirostris";"Elaenia parvirostris";"PASSERIFORMES";"Tyrannidae";"Small-billed Elaenia";"Elaenia parvirostris"
"Eremomela scotops";"Eremomela scotops";"PASSERIFORMES";"Cisticolidae";"Green-capped Eremomela";"Eremomela scotops"
"Egretta garzetta";"Egretta garzetta";"PELECANIFORMES";"Ardeidae";"Little Egret";"Egretta garzetta"
"Macropygia emiliana";"Macropygia emiliana";"COLUMBIFORMES";"Columbidae";"Ruddy Cuckoo-Dove";"Macropygia emiliana"
"Hemiprocne mystacea";"Hemiprocne mystacea";"CAPRIMULGIFORMES";"Hemiprocnidae";"Moustached Treeswift";"Hemiprocne mystacea"
"Pheucticus melanocephalus";"Pheucticus melanocephalus";"PASSERIFORMES";"Cardinalidae";"Black-headed Grosbeak";"Pheucticus melanocephalus"
"Cyanocorax beecheii";"Cyanocorax beecheii";"PASSERIFORMES";"Corvidae";"Purplish-backed Jay";"Cyanocorax beecheii"
"Enicurus velatus";"Enicurus velatus";"PASSERIFORMES";"Muscicapidae";"Sunda Forktail";"Enicurus velatus"
"Glaucidium brasilianum";"Glaucidium brasilianum";"STRIGIFORMES";"Strigidae";"Ferruginous Pygmy-owl";"Glaucidium brasilianum"
"Acridotheres cinereus";"Acridotheres cinereus";"PASSERIFORMES";"Sturnidae";"Pale-bellied Myna";"Acridotheres cinereus"
"Picumnus innominatus";"Picumnus innominatus";"PICIFORMES";"Picidae";"Speckled Piculet";"Picumnus innominatus"
"Loriculus vernalis";"Loriculus vernalis";"PSITTACIFORMES";"Psittacidae";"Vernal Hanging-parrot";"Loriculus vernalis"
"Glaucis hirsutus";"Glaucis hirsutus";"CAPRIMULGIFORMES";"Trochilidae";"Rufous-breasted Hermit";"Glaucis hirsutus"
"Pitta megarhyncha";"Pitta megarhyncha";"PASSERIFORMES";"Pittidae";"Mangrove Pitta";"Pitta megarhyncha"
"Microrhopias quixensis";"Microrhopias quixensis";"PASSERIFORMES";"Thamnophilidae";"Dot-winged Antwren";"Microrhopias quixensis"
"Lagonosticta rufopicta";"Lagonosticta rufopicta";"PASSERIFORMES";"Estrildidae";"Bar-breasted Firefinch";"Lagonosticta rufopicta"
"Garrulax milnei";"Trochalopteron milnei";"PASSERIFORMES";"Leiothrichidae";"Red-tailed Laughingthrush";"Trochalopteron milnei"
"Pseudonestor xanthophrys";"Pseudonestor xanthophrys";"PASSERIFORMES";"Fringillidae";"Maui Parrotbill";"Pseudonestor xanthophrys"
"Discosura longicaudus";"Discosura longicaudus";"CAPRIMULGIFORMES";"Trochilidae";"Racket-tipped Thorntail";"Discosura longicaudus"
"Merops breweri";"Merops breweri";"CORACIIFORMES";"Meropidae";"Black-headed Bee-eater";"Merops breweri"
"Ficedula strophiata";"Ficedula strophiata";"PASSERIFORMES";"Muscicapidae";"Rufous-gorgeted Flycatcher";"Ficedula strophiata"
"Amaurospiza concolor";"Amaurospiza relicta";"PASSERIFORMES";"Cardinalidae";"Slate-blue Seedeater";"Amaurospiza concolor"
"Rallus limicola";"Rallus limicola";"GRUIFORMES";"Rallidae";"Virginia Rail";"Rallus limicola"
"Emberiza capensis";"Emberiza capensis";"PASSERIFORMES";"Emberizidae";"Cape Bunting";"Emberiza capensis"
"Ducula goliath";"Ducula goliath";"COLUMBIFORMES";"Columbidae";"New Caledonian Imperial-pigeon";"Ducula goliath"
"Ictinia plumbea";"Ictinia plumbea";"ACCIPITRIFORMES";"Accipitridae";"Plumbeous Kite";"Ictinia plumbea"
"Pericrocotus solaris";"Pericrocotus solaris";"PASSERIFORMES";"Campephagidae";"Grey-chinned Minivet";"Pericrocotus solaris"
"Phoebetria palpebrata";"Phoebetria palpebrata";"PROCELLARIIFORMES";"Diomedeidae";"Light-mantled Albatross";"Phoebetria palpebrata"
"Pachyramphus validus";"Pachyramphus validus";"PASSERIFORMES";"Tityridae";"Crested Becard";"Pachyramphus validus"
"Loxigilla noctis";"Loxigilla noctis";"PASSERIFORMES";"Thraupidae";"Lesser Antillean Bullfinch";"Loxigilla noctis"
"Phoenicoparrus jamesi";"Phoenicoparrus jamesi";"PHOENICOPTERIFORMES";"Phoenicopteridae";"Puna Flamingo";"Phoenicoparrus jamesi"
"Polystictus pectoralis";"Polystictus pectoralis";"PASSERIFORMES";"Tyrannidae";"Bearded Tachuri";"Polystictus pectoralis"
"Myzomela cruentata";"Myzomela cruentata";"PASSERIFORMES";"Meliphagidae";"Red Myzomela";"Myzomela cruentata"
"Certhilauda curvirostris";"Certhilauda curvirostris";"PASSERIFORMES";"Alaudidae";"Cape Long-billed Lark";"Certhilauda curvirostris"
"Cisticola textrix";"Cisticola textrix";"PASSERIFORMES";"Cisticolidae";"Cloud Cisticola";"Cisticola textrix"
"Piezorhina cinerea";"Piezorina cinerea";"PASSERIFORMES";"Thraupidae";"Cinereous Finch";"Piezorina cinerea"
"Otus podarginus";"Pyrroglaux podargina";"STRIGIFORMES";"Strigidae";"Palau Owl";"Otus podarginus"
"Ptilopachus petrosus";"Ptilopachus petrosus";"GALLIFORMES";"Odontophoridae";"Stone Partridge";"Ptilopachus petrosus"
"Malacoptila fulvogularis";"Malacoptila fulvogularis";"PICIFORMES";"Bucconidae";"Black-streaked Puffbird";"Malacoptila fulvogularis"
"Semnornis ramphastinus";"Semnornis ramphastinus";"PICIFORMES";"Semnornithidae";"Toucan Barbet";"Semnornis ramphastinus"
"Saltator coerulescens";"Saltator coerulescens";"PASSERIFORMES";"Thraupidae";"Bluish-grey Saltator";"Saltator coerulescens"
"Lepidothrix nattereri";"Lepidothrix nattereri";"PASSERIFORMES";"Pipridae";"Snow-capped Manakin";"Lepidothrix nattereri"
"Hypocnemis cantator";"Hypocnemis cantator";"PASSERIFORMES";"Thamnophilidae";"Guianan Antwarbler";"Hypocnemis cantator"
"Trogon massena";"Trogon massena";"TROGONIFORMES";"Trogonidae";"Slaty-tailed Trogon";"Trogon massena"
"Telacanthura ussheri";"Telacanthura ussheri";"CAPRIMULGIFORMES";"Apodidae";"Mottled Spinetail";"Telacanthura ussheri"
"Stactolaema leucotis";"Stactolaema leucotis";"PICIFORMES";"Lybiidae";"White-eared Barbet";"Stactolaema leucotis"
"Aviceda leuphotes";"Aviceda leuphotes";"ACCIPITRIFORMES";"Accipitridae";"Black Baza";"Aviceda leuphotes"
"Turnix maculosus";"Turnix maculosus";"CHARADRIIFORMES";"Turnicidae";"Red-backed Buttonquail";"Turnix maculosus"
"Meiglyptes jugularis";"Meiglyptes jugularis";"PICIFORMES";"Picidae";"Black-and-buff Woodpecker";"Meiglyptes jugularis"
"Batrachostomus affinis";"Batrachostomus javensis";"CAPRIMULGIFORMES";"Podargidae";"Horsfield's Frogmouth";"Batrachostomus affinis"
"Dendroica palmarum";"Setophaga palmarum";"PASSERIFORMES";"Parulidae";"Palm Warbler";"Setophaga palmarum"
"Chordeiles rupestris";"Chordeiles rupestris";"CAPRIMULGIFORMES";"Caprimulgidae";"Sand-colored Nighthawk";"Chordeiles rupestris"
"Garrulax melanostigma";"Trochalopteron melanostigma";"PASSERIFORMES";"Leiothrichidae";"Silver-eared Laughingthrush";"Trochalopteron melanostigma"
"Andigena laminirostris";"Andigena laminirostris";"PICIFORMES";"Ramphastidae";"Plate-billed Mountain-toucan";"Andigena laminirostris"
"Melierax gabar";"Micronisus gabar";"ACCIPITRIFORMES";"Accipitridae";"Gabar Goshawk";"Micronisus gabar"
"Piranga erythrocephala";"Piranga erythrocephala";"PASSERIFORMES";"Cardinalidae";"Red-headed Tanager";"Piranga erythrocephala"
"Ochthoeca jelskii";"Silvicultrix jelskii";"PASSERIFORMES";"Tyrannidae";"Jelski's Chat-tyrant";"Silvicultrix jelskii"
"Clamator glandarius";"Clamator glandarius";"CUCULIFORMES";"Cuculidae";"Great Spotted Cuckoo";"Clamator glandarius"
"Myioborus castaneocapilla";"Myioborus castaneocapilla";"PASSERIFORMES";"Parulidae";"Tepui Whitestart";"Myioborus castaneocapilla"
"Leucosarcia melanoleuca";"Leucosarcia melanoleuca";"COLUMBIFORMES";"Columbidae";"Wonga Pigeon";"Leucosarcia melanoleuca"
"Actitis macularius";"Actitis macularius";"CHARADRIIFORMES";"Scolopacidae";"Spotted Sandpiper";"Actitis macularius"
"Oenanthe cypriaca";"Oenanthe cypriaca";"PASSERIFORMES";"Muscicapidae";"Cyprus Wheatear";"Oenanthe cypriaca"
"Gerygone mouki";"Gerygone mouki";"PASSERIFORMES";"Acanthizidae";"Brown Gerygone";"Gerygone mouki"
"Phlegopsis nigromaculata";"Phlegopsis nigromaculata";"PASSERIFORMES";"Thamnophilidae";"Black-spotted Bare-eye";"Phlegopsis nigromaculata"
"Carpornis cucullata";"Carpornis cucullata";"PASSERIFORMES";"Cotingidae";"Hooded Berryeater";"Carpornis cucullata"
"Phylidonyris melanops";"Gliciphila melanops";"PASSERIFORMES";"Meliphagidae";"Tawny-crowned Honeyeater";"Gliciphila melanops"
"Dendrocopos medius";"Leiopicus medius";"PICIFORMES";"Picidae";"Middle Spotted Woodpecker";"Dendrocoptes medius"
"Myiarchus semirufus";"Myiarchus semirufus";"PASSERIFORMES";"Tyrannidae";"Rufous Flycatcher";"Myiarchus semirufus"
"Indicator maculatus";"Indicator maculatus";"PICIFORMES";"Indicatoridae";"Spotted Honeyguide";"Indicator maculatus"
"Euplectes psammocromius";"Euplectes psammacromius";"PASSERIFORMES";"Ploceidae";"Montane Widowbird";"Euplectes psammacromius"
"Streptopelia tranquebarica";"Streptopelia tranquebarica";"COLUMBIFORMES";"Columbidae";"Red Collared-dove";"Streptopelia tranquebarica"
"Scopus umbretta";"Scopus umbretta";"PELECANIFORMES";"Scopidae";"Hamerkop";"Scopus umbretta"
"Thryothorus euophrys";"Pheugopedius euophrys";"PASSERIFORMES";"Troglodytidae";"Plain-tailed Wren";"Pheugopedius euophrys"
"Sylvia boehmi";"Curruca boehmi";"PASSERIFORMES";"Sylviidae";"Banded Warbler";"Curruca boehmi"
"Dendrocopos moluccensis";"Picoides moluccensis";"PICIFORMES";"Picidae";"Sunda Pygmy Woodpecker";"Yungipicus moluccensis"
"Alcedo semitorquata";"Alcedo semitorquata";"CORACIIFORMES";"Alcedinidae";"Half-collared Kingfisher";"Alcedo semitorquata"
"Cistothorus platensis";"Cistothorus platensis";"PASSERIFORMES";"Troglodytidae";"Grass Wren";"Cistothorus platensis"
"Progne dominicensis";"Progne dominicensis";"PASSERIFORMES";"Hirundinidae";"Caribbean Martin";"Progne dominicensis"
"Sula granti";"Sula granti";"SULIFORMES";"Sulidae";"Nazca Booby";"Sula granti"
"Fluvicola albiventer";"Fluvicola albiventer";"PASSERIFORMES";"Tyrannidae";"Black-backed Water-tyrant";"Fluvicola albiventer"
"Himantopus novaezelandiae";"Himantopus novaezelandiae";"CHARADRIIFORMES";"Recurvirostridae";"Black Stilt";"Himantopus novaezelandiae"
"Eulampis holosericeus";"Eulampis holosericeus";"CAPRIMULGIFORMES";"Trochilidae";"Green-throated Carib";"Eulampis holosericeus"
"Sylvia hortensis";"Curruca hortensis";"PASSERIFORMES";"Sylviidae";"Western Orphean Warbler";"Curruca hortensis"
"Merops bullockoides";"Merops bullockoides";"CORACIIFORMES";"Meropidae";"White-fronted Bee-eater";"Merops bullockoides"
"Xipholena punicea";"Xipholena punicea";"PASSERIFORMES";"Cotingidae";"Pompadour Cotinga";"Xipholena punicea"
"Buphagus erythrorhynchus";"Buphagus erythrorynchus";"PASSERIFORMES";"Buphagidae";"Red-billed Oxpecker";"Buphagus erythroryncha"
"Pogoniulus simplex";"Pogoniulus simplex";"PICIFORMES";"Lybiidae";"Eastern Green Tinkerbird";"Pogoniulus simplex"
"Hemispingus frontalis";"Sphenopsis frontalis";"PASSERIFORMES";"Thraupidae";"Oleaginous Hemispingus";"Sphenopsis frontalis"
"Plectropterus gambensis";"Plectropterus gambensis";"ANSERIFORMES";"Anatidae";"Spur-winged Goose";"Plectropterus gambensis"
"Lophornis chalybeus";"Lophornis chalybeus";"CAPRIMULGIFORMES";"Trochilidae";"Festive Coquette";"Lophornis chalybeus"
"Turdus feae";"Turdus feae";"PASSERIFORMES";"Turdidae";"Grey-sided Thrush";"Turdus feae"
"Syrigma sibilatrix";"Syrigma sibilatrix";"PELECANIFORMES";"Ardeidae";"Whistling Heron";"Syrigma sibilatrix"
"Phyllastrephus cabanisi";"Phyllastrephus cabanisi";"PASSERIFORMES";"Pycnonotidae";"Cabanis's Greenbul";"Phyllastrephus cabanisi"
"Anthoscopus parvulus";"Anthoscopus parvulus";"PASSERIFORMES";"Remizidae";"Yellow Penduline-tit";"Anthoscopus parvulus"
"Fulmarus glacialoides";"Fulmarus glacialoides";"PROCELLARIIFORMES";"Procellariidae";"Southern Fulmar";"Fulmarus glacialoides"
"Pnoepyga pusilla";"Pnoepyga pusilla";"PASSERIFORMES";"Pnoepygidae";"Pygmy Cupwing";"Pnoepyga pusilla"
"Conirostrum rufum";"Conirostrum rufum";"PASSERIFORMES";"Thraupidae";"Rufous-browed Conebill";"Conirostrum rufum"
"Artamus mentalis";"Artamus mentalis";"PASSERIFORMES";"Artamidae";"Fiji Woodswallow";"Artamus mentalis"
"Picumnus aurifrons";"Picumnus aurifrons";"PICIFORMES";"Picidae";"Bar-breasted Piculet";"Picumnus aurifrons"
"Criniger ndussumensis";"Criniger ndussumensis";"PASSERIFORMES";"Pycnonotidae";"White-bearded Greenbul";"Criniger ndussumensis"
"Saltator fuliginosus";"Saltator fuliginosus";"PASSERIFORMES";"Thraupidae";"Black-throated Grosbeak";"Saltator fuliginosus"
"Legatus leucophaius";"Legatus leucophaius";"PASSERIFORMES";"Tyrannidae";"Piratic Flycatcher";"Legatus leucophaius"
"Rhipidura nigrocinnamomea";"Rhipidura nigrocinnamomea";"PASSERIFORMES";"Rhipiduridae";"Black-and-cinnamon Fantail";"Rhipidura nigrocinnamomea"
"Pyrrholaemus brunneus";"Pyrrholaemus brunneus";"PASSERIFORMES";"Acanthizidae";"Redthroat";"Pyrrholaemus brunneus"
"Ampelion rufaxilla";"Ampelion rufaxilla";"PASSERIFORMES";"Cotingidae";"Chestnut-crested Cotinga";"Ampelion rufaxilla"
"Phaethornis longuemareus";"Phaethornis longuemareus";"CAPRIMULGIFORMES";"Trochilidae";"Little Hermit";"Phaethornis longuemareus"
"Incaspiza laeta";"Incaspiza laeta";"PASSERIFORMES";"Thraupidae";"Buff-bridled Inca-finch";"Incaspiza laeta"
"Campephilus principalis";"Campephilus principalis";"PICIFORMES";"Picidae";"Ivory-billed Woodpecker";"Campephilus principalis"
"Strepera versicolor";"Strepera versicolor";"PASSERIFORMES";"Artamidae";"Grey Currawong";"Strepera versicolor"
"Trachyphonus usambiro";"Trachyphonus usambiro";"PICIFORMES";"Lybiidae";"Usambiro Barbet";"Trachyphonus darnaudii"
"Ploceus taeniopterus";"Ploceus taeniopterus";"PASSERIFORMES";"Ploceidae";"Northern Masked Weaver";"Ploceus taeniopterus"
"Tangara ruficervix";"Tangara ruficervix";"PASSERIFORMES";"Thraupidae";"Golden-naped Tanager";"Chalcothraupis ruficervix"
"Heteroscelus brevipes";"Tringa brevipes";"CHARADRIIFORMES";"Scolopacidae";"Grey-tailed Tattler";"Tringa brevipes"
"Xipholena lamellipennis";"Xipholena lamellipennis";"PASSERIFORMES";"Cotingidae";"White-tailed Cotinga";"Xipholena lamellipennis"
"Buteo regalis";"Buteo regalis";"ACCIPITRIFORMES";"Accipitridae";"Ferruginous Hawk";"Buteo regalis"
"Platysteira cyanea";"Platysteira cyanea";"PASSERIFORMES";"Platysteiridae";"Brown-throated Wattle-eye";"Platysteira cyanea"
"Aulacorhynchus sulcatus";"Aulacorhynchus sulcatus";"PICIFORMES";"Ramphastidae";"Groove-billed Toucanet";"Aulacorhynchus sulcatus"
"Nectarinia balfouri";"Chalcomitra balfouri";"PASSERIFORMES";"Nectariniidae";"Socotra Sunbird";"Chalcomitra balfouri"
"Todiramphus cinnamominus";"Todiramphus cinnamominus";"CORACIIFORMES";"Alcedinidae";"Guam Kingfisher";"Todiramphus cinnamominus"
"Spizaetus tyrannus";"Spizaetus tyrannus";"ACCIPITRIFORMES";"Accipitridae";"Black Hawk-eagle";"Spizaetus tyrannus"
"Tockus fasciatus";"Lophoceros fasciatus";"BUCEROTIFORMES";"Bucerotidae";"Congo Pied Hornbill";"Lophoceros fasciatus"
"Hypargos margaritatus";"Hypargos margaritatus";"PASSERIFORMES";"Estrildidae";"Pink-throated Twinspot";"Hypargos margaritatus"
"Zenaida galapagoensis";"Zenaida galapagoensis";"COLUMBIFORMES";"Columbidae";"Galapagos Dove";"Zenaida galapagoensis"
"Cisticola eximius";"Cisticola eximius";"PASSERIFORMES";"Cisticolidae";"Black-backed Cisticola";"Cisticola eximius"
"Macropygia magna";"Macropygia magna";"COLUMBIFORMES";"Columbidae";"Timor Cuckoo-Dove";"Macropygia magna"
"Amphispiza belli";"Artemisiospiza belli";"PASSERIFORMES";"Passerellidae";"Bell's Sparrow";"Artemisiospiza belli"
"Ceyx lecontei";"Ispidina lecontei";"CORACIIFORMES";"Alcedinidae";"African Dwarf-kingfisher";"Ispidina lecontei"
"Nectarinia bifasciata";"Cinnyris bifasciatus";"PASSERIFORMES";"Nectariniidae";"Purple-banded Sunbird";"Cinnyris bifasciatus"
"Phylloscartes ventralis";"Phylloscartes ventralis";"PASSERIFORMES";"Tyrannidae";"Mottle-cheeked Tyrannulet";"Phylloscartes ventralis"
"Eudocimus ruber";"Eudocimus ruber";"PELECANIFORMES";"Threskiornithidae";"Scarlet Ibis";"Eudocimus ruber"
"Pseudonigrita cabanisi";"Pseudonigrita cabanisi";"PASSERIFORMES";"Ploceidae";"Black-capped Social-Weaver";"Pseudonigrita cabanisi"
"Myzomela sclateri";"Myzomela sclateri";"PASSERIFORMES";"Meliphagidae";"Sclater's Myzomela";"Myzomela sclateri"
"Anarhynchus frontalis";"Anarhynchus frontalis";"CHARADRIIFORMES";"Charadriidae";"Wrybill";"Anarhynchus frontalis"
"Tachycineta bicolor";"Tachycineta bicolor";"PASSERIFORMES";"Hirundinidae";"Tree Swallow";"Tachycineta bicolor"
"Toxostoma crissale";"Toxostoma crissale";"PASSERIFORMES";"Mimidae";"Crissal Thrasher";"Toxostoma crissale"
"Phacellodomus striaticollis";"Phacellodomus striaticollis";"PASSERIFORMES";"Furnariidae";"Freckle-breasted Thornbird";"Phacellodomus striaticollis"
"Hylophilus thoracicus";"Hylophilus thoracicus";"PASSERIFORMES";"Vireonidae";"Rio de Janeiro Greenlet";"Hylophilus thoracicus"
"Parus elegans";"Pardaliparus elegans";"PASSERIFORMES";"Paridae";"Elegant Tit";"Periparus elegans"
"Coturnix ypsilophora";"Synoicus ypsilophorus";"GALLIFORMES";"Phasianidae";"Brown Quail";"Synoicus ypsilophorus"
"Ninox scutulata";"Ninox scutulata";"STRIGIFORMES";"Strigidae";"Brown Boobook";"Ninox scutulata"
"Stachyris thoracica";"Stachyris thoracica";"PASSERIFORMES";"Timaliidae";"White-bibbed Babbler";"Stachyris thoracica"
"Calyptomena viridis";"Calyptomena viridis";"PASSERIFORMES";"Calyptomenidae";"Green Broadbill";"Calyptomena viridis"
"Gypaetus barbatus";"Gypaetus barbatus";"ACCIPITRIFORMES";"Accipitridae";"Bearded Vulture";"Gypaetus barbatus"
"Strix nigrolineata";"Ciccaba nigrolineata";"STRIGIFORMES";"Strigidae";"Black-and-white Owl";"Strix nigrolineata"
"Pyrrhura griseipectus";"Pyrrhura griseipectus";"PSITTACIFORMES";"Psittacidae";"Grey-breasted Parakeet";"Pyrrhura griseipectus"
"Columbina picui";"Columbina picui";"COLUMBIFORMES";"Columbidae";"Picui Ground Dove";"Columbina picui"
"Nectarinia talatala";"Cinnyris talatala";"PASSERIFORMES";"Nectariniidae";"White-breasted Sunbird";"Cinnyris talatala"
"Bradypterus carpalis";"Bradypterus carpalis";"PASSERIFORMES";"Locustellidae";"White-winged Swamp-warbler";"Bradypterus carpalis"
"Grallaricula ferrugineipectus";"Grallaricula ferrugineipectus";"PASSERIFORMES";"Grallariidae";"Rusty-breasted Antpitta";"Grallaricula ferrugineipectus"
"Eopsaltria griseogularis";"Eopsaltria griseogularis";"PASSERIFORMES";"Petroicidae";"Western Yellow Robin";"Eopsaltria griseogularis"
"Cisticola njombe";"Cisticola njombe";"PASSERIFORMES";"Cisticolidae";"Churring Cisticola";"Cisticola njombe"
"Donacobius atricapilla";"Donacobius atricapilla";"PASSERIFORMES";"Donacobiidae";"Donacobius";"Donacobius atricapilla"
"Acridotheres grandis";"Acridotheres grandis";"PASSERIFORMES";"Sturnidae";"Great Myna";"Acridotheres grandis"
"Phrygilus dorsalis";"Ephippiospingus dorsalis";"PASSERIFORMES";"Thraupidae";"Red-backed Sierra-finch";"Idiopsar dorsalis"
"Emberiza schoeniclus";"Emberiza schoeniclus";"PASSERIFORMES";"Emberizidae";"Reed Bunting";"Emberiza schoeniclus"
"Lagopus muta";"Lagopus muta";"GALLIFORMES";"Phasianidae";"Rock Ptarmigan";"Lagopus muta"
"Anthreptes pallidigaster";"Hedydipna pallidigaster";"PASSERIFORMES";"Nectariniidae";"Amani Sunbird";"Hedydipna pallidigaster"
"Gallirallus striatus";"Lewinia striata";"GRUIFORMES";"Rallidae";"Slaty-breasted Rail";"Lewinia striata"
"Oreopsar bolivianus";"Oreopsar bolivianus";"PASSERIFORMES";"Icteridae";"Bolivian Blackbird";"Oreopsar bolivianus"
"Pycnonotus bimaculatus";"Pycnonotus bimaculatus";"PASSERIFORMES";"Pycnonotidae";"Orange-spotted Bulbul";"Pycnonotus bimaculatus"
"Myiotheretes striaticollis";"Myiotheretes striaticollis";"PASSERIFORMES";"Tyrannidae";"Streak-throated Bush-tyrant";"Myiotheretes striaticollis"
"Rhynchostruthus louisae";"Rhynchostruthus louisae";"PASSERIFORMES";"Fringillidae";"Somali Grosbeak";"Rhynchostruthus louisae"
"Megascops asio";"Megascops asio";"STRIGIFORMES";"Strigidae";"Eastern Screech-owl";"Megascops asio"
